,edge,edge_text,variables,variables_text
100,((wo/Mm/en (n’t/Mn/en attack/P.sox.-i-----/en)) france/Cp.s/en syria/Cp.s/en (if/T/en ((n’t/Mn/en does/Pd.s.|f--3s-/en) u%2es%2e/Cp.s/en))),France won’t attack Syria if U.S. doesn’t,"[{'PRED': [['wo/Mm/en'], [['n’t/Mn/en'], ['attack/P.sox.-i-----/en']]], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['syria/Cp.s/en'], 'TOPIC': [[['n’t/Mn/en'], ['does/Pd.s.|f--3s-/en']], ['u%2es%2e/Cp.s/en']]}]","[{'PRED': 'won’t attack', 'SOURCE': 'France', 'TARGET': 'Syria', 'TOPIC': 'U.S. doesn’t'}]"
101,((would/Mm/en blame/P.sox.-i-----/en) world/Cp.s/en israel/Cp.s/en (if/T/en (vetoes/Pd.so.|f--3s-/en congress/Cp.s/en (+/B.am/. iran/Cm/en (nuclear/Ma/en deal/Cc.s/en))))),World would blame Israel if Congress vetoes Iran nuclear deal,"[{'PRED': [['would/Mm/en'], ['blame/P.sox.-i-----/en']], 'SOURCE': ['world/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['vetoes/Pd.so.|f--3s-/en'], ['congress/Cp.s/en'], [['+/B.am/.'], ['iran/Cm/en'], [['nuclear/Ma/en'], ['deal/Cc.s/en']]]]}]","[{'PRED': 'would blame', 'SOURCE': 'World', 'TARGET': 'Israel', 'TOPIC': 'Congress vetoes Iran nuclear deal'}]"
102,((would/Mm/en kill/P.so.-i-----/en) i/Ci/en you/Ci/en),I would kill you,"[{'PRED': [['would/Mm/en'], ['kill/P.so.-i-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'would kill', 'SOURCE': 'I', 'TARGET': 'you'}]"
103,((wrongly/M/en blames/Pd.sox.|f--3s-/en) obama/Cp.s/en russia/Cp.s/en (for/Tt/en (trying/P.r.|pg----/en ((to/Mi/en reclaim/P.o?.-i-----/en) lands/Cc.p/en (lost/P.x.<pf----/en (in/Tt/en (19th/Ma/en century/Cc.s/en))))))),Obama wrongly blames Russia for ‘trying to reclaim lands lost in 19th century,"[{'PRED': [['wrongly/M/en'], ['blames/Pd.sox.|f--3s-/en']], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['trying/P.r.|pg----/en'], [[['to/Mi/en'], ['reclaim/P.o?.-i-----/en']], ['lands/Cc.p/en'], [['lost/P.x.<pf----/en'], [['in/Tt/en'], [['19th/Ma/en'], ['century/Cc.s/en']]]]]]}]","[{'PRED': 'wrongly blames', 'SOURCE': 'Obama', 'TARGET': 'Russia', 'TOPIC': 'trying to reclaim lands lost in 19th century'}]"
104,((’ve/Mv.|f-----/en (just/M/en attacked/P.so.<pf----/en)) you/Ci/en kuwait/Cp.s/en),You’ve just attacked Kuwait,"[{'PRED': [['’ve/Mv.|f-----/en'], [['just/M/en'], ['attacked/P.so.<pf----/en']]], 'SOURCE': ['you/Ci/en'], 'TARGET': ['kuwait/Cp.s/en']}]","[{'PRED': '’ve just attacked', 'SOURCE': 'you', 'TARGET': 'Kuwait'}]"
105,(accused/P.sor.<f-----/en india/Cp.s/en pakistan/Cp.s/en ((only/M/en (to/Mi/en defame/P.o.-i-----/en)) it/Ci/en)),India accused Pakistan only to defame it,"[{'PRED': ['accused/P.sor.<f-----/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'accused', 'SOURCE': 'India', 'TARGET': 'Pakistan'}]"
106,(accuses/Pd.so.|f--3s-/en abbas/Cp.s/en israel/Cp.s/en),Abbas accuses Israel,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['abbas/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Abbas', 'TARGET': 'Israel'}]"
107,(accuses/Pd.so.|f--3s-/en beijing/Cp.s/en tokyo/Cp.s/en),Beijing accuses Tokyo,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['beijing/Cp.s/en'], 'TARGET': ['tokyo/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Beijing', 'TARGET': 'Tokyo'}]"
108,(accuses/Pd.so.|f--3s-/en isis/Cp.s/en canada/Cp.s/en),ISIS accuses Canada,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['isis/Cp.s/en'], 'TARGET': ['canada/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'ISIS', 'TARGET': 'Canada'}]"
109,(accuses/Pd.so.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en),Pakistan accuses India,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Pakistan', 'TARGET': 'India'}]"
110,(accuses/Pd.so.|f--3s-/en syria/Cp.s/en kerry/Cp.s/en),Syria accuses Kerry,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['kerry/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Syria', 'TARGET': 'Kerry'}]"
111,(accuses/Pd.so.|f--3s-/en turkey/Cp.s/en israel/Cp.s/en),Turkey accuses Israel,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['turkey/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Turkey', 'TARGET': 'Israel'}]"
112,(accuses/Pd.so.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en),Vietnam accuses China,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['vietnam/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Vietnam', 'TARGET': 'China'}]"
113,"(accuses/Pd.soo.|f--3s-/en russia/Cp.s/en (of/Br.ma/en west/Cp.s/en (over/Br.ma/en (+/B.am/. new/Cp.s/en (+/B.am/. cold/Cp.s/en war/Cp.s/en)) (,/Mj/en syria/Cp.s/en))) ukraine/Cp.s/en)","Russia Accuses West of 'New Cold War' over Syria, Ukraine","[{'PRED': ['accuses/Pd.soo.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
114,(accuses/Pd.sor.|f--3s-/en obama/Cp.s/en iran/Cp.s/en (deal/P.o.-i-----/en (of/Jr.ma/en opponents/Cc.p/en (luring/P.ox.|pg----/en congress/Cp.s/en (toward/T/en (+/B.am/. (+/B.am/. middle/Cp.s/en east/Cp.s/en) war/Cc.s/en)))))),Obama accuses Iran deal opponents of luring Congress toward Middle East war,"[{'PRED': ['accuses/Pd.sor.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['iran/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Obama', 'TARGET': 'Iran'}]"
115,(accuses/Pd.soxx.|f--3s-/en britain/Cp.s/en spain/Cp.s/en (of/T/en (violating/P.o.|pg----/en (+/B.am/. gibraltar/Cp.s/en sovereignty/Cc.s/en))) (after/T/en (chase/Pd.s.|f-----/en drugs/Cc.p/en))),Britain accuses Spain of violating Gibraltar sovereignty after drugs chase,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['britain/Cp.s/en'], 'TARGET': ['spain/Cp.s/en'], 'TOPIC': [['chase/Pd.s.|f-----/en'], ['drugs/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Britain', 'TARGET': 'Spain', 'TOPIC': 'drugs chase'}]"
116,(accuses/Pd.soxx.|f--3s-/en china/Cp.s/en india/Cp.s/en (of/T/en (political/Ma/en gains/Cc.p/en)) (in/T/en (seeking/P.r.|pg----/en ((to/Mi/en ban/P.o.-i-----/en) (+/B.am/. ((pak/Ma/en based/Mv.<pf----/en) terrorist/Cc.s/en) (+/B.am/. masood/Cp.s/en azhar/Cp.s/en)))))),China accuses India of 'political gains' in seeking to ban Pak-based terrorist Masood Azhar,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [['seeking/P.r.|pg----/en'], [[['to/Mi/en'], ['ban/P.o.-i-----/en']], [['+/B.am/.'], [[['pak/Ma/en'], ['based/Mv.<pf----/en']], ['terrorist/Cc.s/en']], [['+/B.am/.'], ['masood/Cp.s/en'], ['azhar/Cp.s/en']]]]]}]","[{'PRED': 'accuses', 'SOURCE': 'China', 'TARGET': 'India', 'TOPIC': 'seeking to ban Pak-based terrorist Masood Azhar'}]"
117,(accuses/Pd.soxx.|f--3s-/en germany/Cp.s/en russia/Cp.s/en (of/T/en (on/Br.ma/en (cyber/Ma/en attack/Cc.s/en) (ukraine/Ma/en (+/B.am/. peace/Cc.s/en monitors/Cc.p/en)))) (as/T/en (dismisses/Pd.sox.|f--3s-/en kremlin/Cp.s/en (+/B.am/. (+/B.am/. us/Cp.s/en intelligence/Cc.s/en) claims/Cc.p/en) (as/T/en (a/Md/en (+/B.am/. witch/Cc.s/en hunt/Cc.s/en)))))),"Germany accuses Russia of cyber attack on Ukraine peace monitors, as Kremlin dismisses US intelligence claims as a witch hunt","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['dismisses/Pd.sox.|f--3s-/en'], ['kremlin/Cp.s/en'], [['+/B.am/.'], [['+/B.am/.'], ['us/Cp.s/en'], ['intelligence/Cc.s/en']], ['claims/Cc.p/en']], [['as/T/en'], [['a/Md/en'], [['+/B.am/.'], ['witch/Cc.s/en'], ['hunt/Cc.s/en']]]]]}]","[{'PRED': 'accuses', 'SOURCE': 'Germany', 'TARGET': 'Russia', 'TOPIC': 'Kremlin dismisses US intelligence claims as a witch hunt'}]"
118,(accuses/Pd.soxx.|f--3s-/en nepal/Cp.s/en india/Cp.s/en (of/T/en (an/Md/en (economic/Ma/en blockade/Cc.s/en))) (as/T/en ((up/Ml/en freezes/Pd.s.|f--3s-/en) (+/B.am/. border/Cc.s/en trade/Cc.s/en)))),Nepal accuses India of an economic blockade as border trade freezes up,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['nepal/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [[['up/Ml/en'], ['freezes/Pd.s.|f--3s-/en']], [['+/B.am/.'], ['border/Cc.s/en'], ['trade/Cc.s/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Nepal', 'TARGET': 'India', 'TOPIC': 'border trade freezes up'}]"
119,(accuses/Pd.soxx.|f--3s-/en obama/Cp.s/en eu/Cp.s/en (of/T/en (attacking/P.o.|pg----/en (american/Ma/en (+/B.am/. tech/Cc.s/en companies/Cc.p/en)))) (because/T/en (('/Mv.|f-----/en (ca/Mm/en (n't/Mn/en compete/Pd.s.-i-----/en))) it/Ci/en))),Obama accuses EU of attacking American tech companies because it 'ca n't compete,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['eu/Cp.s/en'], 'TOPIC': [[[""'/Mv.|f-----/en""], [['ca/Mm/en'], [[""n't/Mn/en""], ['compete/Pd.s.-i-----/en']]]], ['it/Ci/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Obama', 'TARGET': 'EU', 'TOPIC': ""it 'ca n't compete""}]"
120,(accuses/Pd.soxx.|f--3s-/en qatar/Cp.s/en uae/Cp.s/en (of/Tt/en (supporting/P.o.|pg----/en (in/Br.ma/en (9%2f11/M#/en attacks/Cc.p/en) (+/B.am/. new/Cp.s/en york/Cp.s/en)))) (as/T/en (deepens/Pd.s.|f--3s-/en (+/B.am/. gulf/Cp.s/en crisis/Cc.s/en)))),Qatar accuses UAE of supporting 9/11 attacks in New York as Gulf crisis deepens,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['qatar/Cp.s/en'], 'TARGET': ['uae/Cp.s/en'], 'TOPIC': [['deepens/Pd.s.|f--3s-/en'], [['+/B.am/.'], ['gulf/Cp.s/en'], ['crisis/Cc.s/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Qatar', 'TARGET': 'UAE', 'TOPIC': 'Gulf crisis deepens'}]"
121,(accuses/Pd.soxx.|f--3s-/en russia/Cp.s/en turkey/Cp.s/en (of/T/en hypocrisy/Cc.s/en) (after/T/en (admits/Pd.sr.|f--3s-/en erdogan/Cp.s/en ((does/Mv.|f--3s-/en (not/Mn/en justify/P.so.-i-----/en)) (+/B.am/. airspace/Cc.s/en violation/Cc.s/en) attack/Cc.s/en)))),Russia accuses Turkey of 'hypocrisy' after Erdogan admits airspace violation 'does not justify attack,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['turkey/Cp.s/en'], 'TOPIC': [['admits/Pd.sr.|f--3s-/en'], ['erdogan/Cp.s/en'], [[['does/Mv.|f--3s-/en'], [['not/Mn/en'], ['justify/P.so.-i-----/en']]], [['+/B.am/.'], ['airspace/Cc.s/en'], ['violation/Cc.s/en']], ['attack/Cc.s/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Russia', 'TARGET': 'Turkey', 'TOPIC': ""Erdogan admits airspace violation 'does not justify attack""}]"
122,(accuses/Pd.soxx.|f--3s-/en russia/Cp.s/en turkey/Cp.s/en (over/T/en syria/Cp.s/en) (as/T/en (pledge/Pd.so.|f-----/en donors/Cc.p/en aid/Cc.s/en))),Russia accuses Turkey over Syria as donors pledge aid,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['turkey/Cp.s/en'], 'TOPIC': [['pledge/Pd.so.|f-----/en'], ['donors/Cc.p/en'], ['aid/Cc.s/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Russia', 'TARGET': 'Turkey', 'TOPIC': 'donors pledge aid'}]"
123,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (armed/Ma/en invasion/Cc.s/en)) (after/T/en (blockaded/Pd.s.<f-----/en (+/B.am/. crimea/Cp.s/en airports/Cc.p/en)))),Ukraine accuses Russia of 'armed invasion' after Crimea airports blockaded,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['blockaded/Pd.s.<f-----/en'], [['+/B.am/.'], ['crimea/Cp.s/en'], ['airports/Cc.p/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Crimea airports blockaded'}]"
124,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (direct/Ma/en invasion/Cc.s/en)) (as/T/en (crosses/Pd.so.|f--3s-/en (+/B.am/. aid/Cc.s/en convoy/Cc.s/en) border/Cc.s/en))),"Ukraine accuses Russia of ""direct invasion"" as aid convoy crosses border","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['crosses/Pd.so.|f--3s-/en'], [['+/B.am/.'], ['aid/Cc.s/en'], ['convoy/Cc.s/en']], ['border/Cc.s/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'aid convoy crosses border'}]"
125,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (on/Br.ma/en (+/B.am/. artillery/Cc.s/en attack/Cc.s/en) (its/Mp/en navy/Cc.s/en))) (as/T/en (says/Pd.sor.|f--3s-/en ('s/Bp.am/en moscow/Cp.s/en (foreign/Ma/en minister/Cc.s/en)) (needed/P.o.<pf----/en (immediate/Ma/en ceasefire/Cc.s/en)) ((would/Mm/en consolidate/P.so.-i-----/en) which/C/en (+/B.am/. kremlin/Cp.s/en gains/Cc.p/en))))),Ukraine accuses Russia of artillery attack on its navy as Moscow's foreign minister says 'immediate ceasefire needed' – which would consolidate Kremlin gains,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['says/Pd.sor.|f--3s-/en'], [[""'s/Bp.am/en""], ['moscow/Cp.s/en'], [['foreign/Ma/en'], ['minister/Cc.s/en']]], [['needed/P.o.<pf----/en'], [['immediate/Ma/en'], ['ceasefire/Cc.s/en']]], [[['would/Mm/en'], ['consolidate/P.so.-i-----/en']], ['which/C/en'], [['+/B.am/.'], ['kremlin/Cp.s/en'], ['gains/Cc.p/en']]]]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': ""Moscow's foreign minister says 'immediate ceasefire needed' – which would consolidate Kremlin gains""}]"
126,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (open/Ma/en aggression/Cc.s/en)) (as/T/en (advance/Pd.s.|f-----/en rebels/Cc.p/en))),Ukraine accuses Russia of 'open aggression' as rebels advance,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['advance/Pd.s.|f-----/en'], ['rebels/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Rebels advance'}]"
127,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (reducing/P.o.|pg----/en (+/B.am/. coal/Cc.s/en deliveries/Cc.p/en))) (as/T/en (rise/Pd.s.|f-----/en tensions/Cc.p/en))),Ukraine accuses Russia of reducing coal deliveries as tensions rise,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['rise/Pd.s.|f-----/en'], ['tensions/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'tensions rise'}]"
128,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (undisguised/Ma/en aggression/Cc.s/en)) (as/T/en (advance/Pd.s.|f-----/en rebels/Cc.p/en))),"Ukraine accuses Russia of ""undisguised aggression"" as rebels advance","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['advance/Pd.s.|f-----/en'], ['rebels/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Rebels advance'}]"
129,(accuses/Pd.soxxr.|f--3s-/en taiwan/Cp.s/en china/Cp.s/en (of/T/en (extrajudicial/Ma/en abduction/Cc.s/en)) (after/T/en (acquitted/Pd.sxx.<pf----/en (eight/M#/en taiwanese/Cp.p/en) (of/T/en fraud/Cc.s/en) (in/T/en kenya/Cp.s/en))) (were/Tv.<f-----/en ((forcibly/M/en deported/P.x.<pf----/en) (to/T/en china/Cp.s/en)))),"Taiwan accuses China of ""extrajudicial abduction"" after eight Taiwanese acquitted of fraud in Kenya were forcibly deported to China","[{'PRED': ['accuses/Pd.soxxr.|f--3s-/en'], 'SOURCE': ['taiwan/Cp.s/en'], 'TARGET': ['china/Cp.s/en'], 'TOPIC': [['acquitted/Pd.sxx.<pf----/en'], [['eight/M#/en'], ['taiwanese/Cp.p/en']], [['of/T/en'], ['fraud/Cc.s/en']], [['in/T/en'], ['kenya/Cp.s/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Taiwan', 'TARGET': 'China', 'TOPIC': 'eight Taiwanese acquitted of fraud in Kenya'}]"
130,(accuses/Pd.sro.|f--3s-/en venezuela/Cp.s/en (detained/P.o.<f-----/en (of/Jr.ma/en muslims/Cp.p/en ((to/Mi/en overthrow/P.o.-i-----/en) planning/C/en))) govt/Cc.p/en),Venezuela accuses detained Muslims of planning to overthrow govt,"[{'PRED': ['accuses/Pd.sro.|f--3s-/en'], 'SOURCE': ['venezuela/Cp.s/en'], 'TARGET': ['govt/Cc.p/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Venezuela', 'TARGET': 'govt'}]"
131,(arrests/Pd.so.|f--3s-/en china/Cp.s/en christians/Cp.p/en),China arrests Christians,"[{'PRED': ['arrests/Pd.so.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['christians/Cp.p/en']}]","[{'PRED': 'arrests', 'SOURCE': 'China', 'TARGET': 'Christians'}]"
132,(arrests/Pd.so.|f--3s-/en greece/Cp.s/en russian/Cp.s/en),Greece arrests Russian,"[{'PRED': ['arrests/Pd.so.|f--3s-/en'], 'SOURCE': ['greece/Cp.s/en'], 'TARGET': ['russian/Cp.s/en']}]","[{'PRED': 'arrests', 'SOURCE': 'Greece', 'TARGET': 'Russian'}]"
133,(arrests/Pd.so.|f--3s-/en hamas/Cp.s/en palestinians/Cp.p/en),Hamas arrests Palestinians,"[{'PRED': ['arrests/Pd.so.|f--3s-/en'], 'SOURCE': ['hamas/Cp.s/en'], 'TARGET': ['palestinians/Cp.p/en']}]","[{'PRED': 'arrests', 'SOURCE': 'Hamas', 'TARGET': 'Palestinians'}]"
134,(arrests/Pd.so.|f--3s-/en jordan/Cp.s/en sheikh/Cp.s/en),Jordan Arrests Sheikh,"[{'PRED': ['arrests/Pd.so.|f--3s-/en'], 'SOURCE': ['jordan/Cp.s/en'], 'TARGET': ['sheikh/Cp.s/en']}]","[{'PRED': 'arrests', 'SOURCE': 'Jordan', 'TARGET': 'Sheikh'}]"
135,(arrests/Pd.so?.|f--3s-/en italy/Cp.s/en pakistani/Cp.s/en (accused/P.x.<pf----/en (of/Tt/en (bloody/Ma/en (+/B.am/. 2009/C#/en (+/B.am/. peshawar/Cp.s/en bombing/Cc.s/en)))))),Italy arrests Pakistani accused of bloody 2009 Peshawar bombing,"[{'PRED': ['arrests/Pd.so?.|f--3s-/en'], 'SOURCE': ['italy/Cp.s/en'], 'TARGET': ['pakistani/Cp.s/en']}]","[{'PRED': 'arrests', 'SOURCE': 'Italy', 'TARGET': 'Pakistani'}]"
136,(arrests/Pd.so?o.|f--3s-/en china/Cp.s/en (third/Ma/en japanese/Cp.s/en) (detains/Pd.ox.|f--3s-/en another/Cd/en (for/T/en spying/Cc.s/en)) tokyo/Cp.s/en),"China arrests third Japanese, detains another for spying: Tokyo","[{'PRED': ['arrests/Pd.so?o.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['tokyo/Cp.s/en']}]","[{'PRED': 'arrests', 'SOURCE': 'China', 'TARGET': 'Tokyo'}]"
137,(arrests/Pd.sor.|f--3s-/en israel/Cp.s/en palestinians/Cp.p/en (('/M/en recruited/P.ax.<pf----/en) (by/T/en hizbullah/Cp.s/en) (via/T/en facebook/Cp.s/en))),Israel arrests Palestinians 'recruited by Hizbullah' via Facebook,"[{'PRED': ['arrests/Pd.sor.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['palestinians/Cp.p/en']}]","[{'PRED': 'arrests', 'SOURCE': 'Israel', 'TARGET': 'Palestinians'}]"
138,(arrests/Pd.sox.|f--3s-/en ukraine/Ca/en frenchman/Cp.s/en (for/Tt/en (plotting/P.o.|pg----/en (+/B.am/. (2016/M#/en euro/Cm/en) attacks/Cc.p/en)))),Ukraine arrests Frenchman for plotting Euro 2016 attacks,"[{'PRED': ['arrests/Pd.sox.|f--3s-/en'], 'SOURCE': ['ukraine/Ca/en'], 'TARGET': ['frenchman/Cp.s/en'], 'TOPIC': [['plotting/P.o.|pg----/en'], [['+/B.am/.'], [['2016/M#/en'], ['euro/Cm/en']], ['attacks/Cc.p/en']]]}]","[{'PRED': 'arrests', 'SOURCE': 'Ukraine', 'TARGET': 'Frenchman', 'TOPIC': 'plotting Euro 2016 attacks'}]"
139,(arrests/Pd.sox.|f--3s-/en ukraine/Ca/en frenchman/Cp.s/en (for/Tt/en (plotting/P.o.|pg----/en (on/Br.ma/en attacks/Cc.p/en (2016/M#/en euro/Cp.s/en))))),Ukraine arrests Frenchman for plotting attacks on Euro 2016,"[{'PRED': ['arrests/Pd.sox.|f--3s-/en'], 'SOURCE': ['ukraine/Ca/en'], 'TARGET': ['frenchman/Cp.s/en'], 'TOPIC': [['plotting/P.o.|pg----/en'], [['on/Br.ma/en'], ['attacks/Cc.p/en'], [['2016/M#/en'], ['euro/Cp.s/en']]]]}]","[{'PRED': 'arrests', 'SOURCE': 'Ukraine', 'TARGET': 'Frenchman', 'TOPIC': 'plotting attacks on Euro 2016'}]"
140,(arrests/Pd.soxo.|f--3s-/en japan/Cp.s/en (+/B.am/. (+/B.am/. mtgox/Cp.s/en bitcoin/Cp.s/en) head/Cc.s/en) (over/T/en (missing/P.o.|pg----/en ($/M/en 387/C#/en))) m/C#/en),Japan arrests MtGox Bitcoin head over missing $387m,"[{'PRED': ['arrests/Pd.soxo.|f--3s-/en'], 'SOURCE': ['japan/Cp.s/en'], 'TARGET': ['m/C#/en'], 'TOPIC': [['missing/P.o.|pg----/en'], [['$/M/en'], ['387/C#/en']]]}]","[{'PRED': 'arrests', 'SOURCE': 'Japan', 'TARGET': 'm', 'TOPIC': 'missing $387'}]"
141,(ask/Pd.sor.|f-----/en i/Ci/en you/Ci/en ((to/Mi/en support/P.ox.-i-----/en) us/Ci/en (in/T/en this/Cd/en))),I ask you to support us in this,"[{'PRED': ['ask/Pd.sor.|f-----/en'], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'ask', 'SOURCE': 'I', 'TARGET': 'you'}]"
142,(ask/Pd.sor.|f-----/en kurds/Cp.p/en france/Cp.s/en ((to/Mi/en find/P.o.-i-----/en) (in/Br.ma/en (of/Br.ma/en killers/Cc.p/en (three/M#/en (kurdish/Ma/en activists/Cc.p/en))) paris/Cp.s/en))),Kurds ask France to find killers of three Kurdish activists in Paris,"[{'PRED': ['ask/Pd.sor.|f-----/en'], 'SOURCE': ['kurds/Cp.p/en'], 'TARGET': ['france/Cp.s/en']}]","[{'PRED': 'ask', 'SOURCE': 'Kurds', 'TARGET': 'France'}]"
143,(ask/Pd.sor.|f-----/en palestinians/Cp.p/en icc/Cp.s/en ((up/Ml/en (to/Mi/en speed/P.ox.-i-----/en)) (+/B.am/. gaza/Cp.s/en (+/B.am/. (+/B.am/. war/Cc.s/en crimes/Cc.p/en) probe/Cc.s/en)) (after/T/en (closes/Pd.so.|f--3s-/en israel/Cp.s/en cases/Cc.p/en)))),Palestinians ask ICC to speed up Gaza war crimes probe after Israel closes cases,"[{'PRED': ['ask/Pd.sor.|f-----/en'], 'SOURCE': ['palestinians/Cp.p/en'], 'TARGET': ['icc/Cp.s/en']}]","[{'PRED': 'ask', 'SOURCE': 'Palestinians', 'TARGET': 'ICC'}]"
